player_id,player,season_at_bats,season_hits,season_average
1,Roberto Clemente,412,145,0.352
2,Frank Robinson,471,144,0.306
3,Frank Howard,566,160,0.283
4,Jay Johnstone,320,76,0.238
5,Ken Berry,463,128,0.276
6,Jim Spencer,511,140,0.274
7,Don Kessinger,631,168,0.266
8,Luis Alvarado,183,41,0.224
9,Ron Santo,555,148,0.267
10,Ron Swoboda,245,57,0.233
11,Rico Petrocelli,583,152,0.261
12,Ellie Rodríguez,231,52,0.225
13,George Scott,480,142,0.296
14,Del Unser,322,83,0.258
15,Walt Williams,315,79,0.251
16,Bert Campaneris,603,168,0.279
17,Thurman Munson,453,137,0.302
18,Max Alvis,115,21,0.183
