Parameterization,Run,Variable,Median R_hat,Maximum R_hat,Diagnostics OK,Mean,q05,q50,q95
Centered,1,mu,1.00202,1.0096,True,-0.9931398214725,-1.06342727,-0.9913882300000001,-0.9305428065
Centered,1,sigma,1.00202,1.0096,True,0.11679157316475001,0.038691859950000004,0.11400287,0.204350514
Centered,1,alpha[1],1.00202,1.0096,True,-0.794173954505,-0.957036141,-0.79828491,-0.6156327315
Centered,1,alpha[2],1.00202,1.0096,True,-0.90093884067,-1.02409799,-0.9073366350000001,-0.7610707790000001
Centered,1,alpha[3],1.00202,1.0096,True,-0.9568657967625,-1.07141345,-0.959290805,-0.8335721890000001
Centered,1,alpha[4],1.00202,1.0096,True,-1.065385899025,-1.23021915,-1.05955885,-0.9265879135
Centered,1,alpha[5],1.00202,1.0096,True,-0.9762161010575,-1.09635836,-0.9752995550000001,-0.8544217515000001
Centered,1,alpha[6],1.00202,1.0096,True,-0.9812868757625001,-1.100832,-0.9810112799999999,-0.862968447
Centered,1,alpha[7],1.00202,1.0096,True,-1.00396493914,-1.12415909,-1.0012362000000001,-0.8896447895
Centered,1,alpha[8],1.00202,1.0096,True,-1.0673551540400001,-1.259286805,-1.05697325,-0.9111129605
Centered,1,alpha[9],1.00202,1.0096,True,-1.0025376641850001,-1.12346868,-1.00036465,-0.8877391565
Centered,1,alpha[10],1.00202,1.0096,True,-1.0651332351424998,-1.2498902,-1.0550514999999998,-0.9131408855
Centered,1,alpha[11],1.00202,1.0096,True,-1.0193766389425,-1.1427899049999999,-1.01581875,-0.9058197865
Centered,1,alpha[12],1.00202,1.0096,True,-1.079390863305,-1.27317012,-1.0668376,-0.9251055955
Centered,1,alpha[13],1.00202,1.0096,True,-0.9260337838975,-1.0481463400000002,-0.932620375,-0.7897530390000002
Centered,1,alpha[14],1.00202,1.0096,True,-1.020940067435,-1.171014475,-1.01662755,-0.884086414
Centered,1,alpha[15],1.00202,1.0096,True,-1.0345048993575,-1.1930299149999999,-1.02841685,-0.894611613
Centered,1,alpha[16],1.00202,1.0096,True,-0.9689606297575,-1.08395899,-0.9702770599999999,-0.8485952090000001
Centered,1,alpha[17],1.00202,1.0096,True,-0.9103650427400001,-1.027976075,-0.91395567,-0.7770643475000002
Centered,1,alpha[18],1.00202,1.0096,True,-1.10100234615,-1.34468491,-1.08224615,-0.925528389
Centered,2,mu,1.001525,1.00662,True,-0.99253311652,-1.063284915,-0.99042743,-0.928671321
Centered,2,sigma,1.001525,1.00662,True,0.118891553737,0.045848949800000004,0.11518845,0.2038543335
Centered,2,alpha[1],1.001525,1.00662,True,-0.7915002697950001,-0.9566086024999999,-0.791802815,-0.6144666790000003
Centered,2,alpha[2],1.001525,1.00662,True,-0.8991014893199999,-1.0224032299999999,-0.901403315,-0.7590364770000001
Centered,2,alpha[3],1.001525,1.00662,True,-0.9553746956825,-1.071956565,-0.956185735,-0.835108065
Centered,2,alpha[4],1.001525,1.00662,True,-1.067819071515,-1.2394665550000001,-1.05983505,-0.926912379
Centered,2,alpha[5],1.001525,1.00662,True,-0.9749908195675,-1.10276686,-0.974804165,-0.8446519450000001
Centered,2,alpha[6],1.001525,1.00662,True,-0.98110772201,-1.102198005,-0.9816476350000001,-0.8609904110000001
Centered,2,alpha[7],1.001525,1.00662,True,-1.0032585953600002,-1.123232545,-1.0010161,-0.8891853310000001
Centered,2,alpha[8],1.001525,1.00662,True,-1.0702567497700002,-1.26215762,-1.0610175,-0.9154854425000001
Centered,2,alpha[9],1.001525,1.00662,True,-1.002411648255,-1.1313272349999999,-0.999789465,-0.8794849785000001
Centered,2,alpha[10],1.001525,1.00662,True,-1.0661000475225,-1.24718872,-1.05674745,-0.9129692955000002
Centered,2,alpha[11],1.001525,1.00662,True,-1.019824004065,-1.14750022,-1.0177391500000001,-0.9007963185000001
Centered,2,alpha[12],1.001525,1.00662,True,-1.07819139301,-1.263317645,-1.0687804500000002,-0.9226722315000001
Centered,2,alpha[13],1.001525,1.00662,True,-0.9253913069875,-1.04601762,-0.92777085,-0.7906024545000001
Centered,2,alpha[14],1.001525,1.00662,True,-1.0209186144525,-1.177460625,-1.01681515,-0.8757436565
Centered,2,alpha[15],1.001525,1.00662,True,-1.0366613137175,-1.1952223599999998,-1.0299759499999999,-0.8945955425
Centered,2,alpha[16],1.001525,1.00662,True,-0.9688486888325,-1.082808235,-0.970689235,-0.8512141125
Centered,2,alpha[17],1.001525,1.00662,True,-0.909254523605,-1.032633655,-0.913525015,-0.7704296225
Centered,2,alpha[18],1.001525,1.00662,True,-1.100868709565,-1.346906845,-1.08122835,-0.9178807385000001
Centered,3,mu,1.0010750000000002,1.0044,True,-0.9934407818375001,-1.063164215,-0.992930315,-0.9270164765
Centered,3,sigma,1.0010750000000002,1.0044,True,0.118728920007,0.047551168649999996,0.11516198,0.201853712
Centered,3,alpha[1],1.0010750000000002,1.0044,True,-0.7931812084625001,-0.9541412180000001,-0.799419045,-0.6160443910000002
Centered,3,alpha[2],1.0010750000000002,1.0044,True,-0.9009571768599999,-1.0249865550000001,-0.90479764,-0.7666844485000002
Centered,3,alpha[3],1.0010750000000002,1.0044,True,-0.9579667172399999,-1.074357515,-0.95814285,-0.8373032985000001
Centered,3,alpha[4],1.0010750000000002,1.0044,True,-1.06681341013,-1.22483205,-1.0597588,-0.921766633
Centered,3,alpha[5],1.0010750000000002,1.0044,True,-0.9774068334649999,-1.1086662900000002,-0.97825551,-0.8472480385000001
Centered,3,alpha[6],1.0010750000000002,1.0044,True,-0.9861674639775,-1.110185915,-0.984248515,-0.8670349115
Centered,3,alpha[7],1.0010750000000002,1.0044,True,-1.00458152023,-1.124177645,-1.00380905,-0.890474005
Centered,3,alpha[8],1.0010750000000002,1.0044,True,-1.0704031514949999,-1.27491097,-1.06081585,-0.9072541475000001
Centered,3,alpha[9],1.0010750000000002,1.0044,True,-1.0022918438475,-1.12293515,-1.00060065,-0.8838166355
Centered,3,alpha[10],1.0010750000000002,1.0044,True,-1.0670812090700001,-1.245376955,-1.0602892,-0.9173438745000001
Centered,3,alpha[11],1.0010750000000002,1.0044,True,-1.0201304183275002,-1.1433587200000002,-1.0188424999999999,-0.8988792955
Centered,3,alpha[12],1.0010750000000002,1.0044,True,-1.0799385111275002,-1.2696107200000002,-1.0688944,-0.923226561
Centered,3,alpha[13],1.0010750000000002,1.0044,True,-0.9237751305474999,-1.0470476,-0.925553275,-0.7894399015000001
