Parameterization,N,Run,Variable,Median R_hat,Maximum R_hat,Diagnostics OK,Mean,q05,q50,q95
Centered,2,1,log_sigma_sq,1.0267300000000001,1.07306,False,-1.4173828653790175,-4.59212726,-1.3503977,1.4319150999999988
Centered,2,1,theta[1],1.0267300000000001,1.07306,False,-0.005621298394532249,-1.161688965,-0.00112356825,1.1095446199999988
Centered,2,2,log_sigma_sq,1.00715,1.02316,True,-1.0963535223864176,-3.875320945,-1.0798804,1.5575069649999995
Centered,2,2,theta[1],1.00715,1.02316,True,0.0033656635142625007,-1.161850185,-0.0072995831,1.2051628449999994
Centered,2,3,log_sigma_sq,1.0272350000000001,1.08696,False,-1.6454951555326878,-5.10732458,-1.4925940500000001,1.2877924999999988
Centered,2,3,theta[1],1.0272350000000001,1.08696,False,0.018810798957493154,-1.002257715,0.011755317000000001,1.0807704049999993
Centered,2,4,log_sigma_sq,1.007325,1.01774,True,-1.2017609749654676,-4.06626137,-1.1454857,1.6407099799999985
Centered,2,4,theta[1],1.007325,1.01774,True,0.007230443363318851,-1.183434345,0.0032800469,1.2150991199999996
Centered,2,5,log_sigma_sq,1.246625,1.39536,False,-3.145944232871823,-5.7831209,-3.3736611,0.8183121574999987
Centered,2,5,theta[1],1.246625,1.39536,False,-0.009824777031872997,-0.7514543284999999,-0.001962082,0.6598133874999998
Centered,2,6,log_sigma_sq,1.310105,1.5688,False,-2.7367811153038075,-6.3531912,-2.3881761,0.9964028184999971
Centered,2,6,theta[1],1.310105,1.5688,False,-0.0035001920155025004,-0.8687717085,0.015836926,0.8349537294999992
Centered,2,7,log_sigma_sq,1.00697,1.03462,False,-1.4047579454015926,-4.3412128,-1.3362248,1.3146796399999994
Centered,2,7,theta[1],1.00697,1.03462,False,-0.00045063626293000245,-1.078850375,-0.000558737845,1.0649937249999994
Centered,2,8,log_sigma_sq,1.1146699999999998,1.22164,False,-1.66249290441535,-4.698051,-1.5381825,1.3902504249999994
Centered,2,8,theta[1],1.1146699999999998,1.22164,False,-0.0020332029549277493,-1.053013445,-0.017025719,1.0302535449999977
Centered,2,9,log_sigma_sq,1.013835,1.03238,False,-1.466631796308475,-4.41082042,-1.4173925,1.243538819999999
Centered,2,9,theta[1],1.013835,1.03238,False,0.0061426278476600015,-1.0581176350000001,0.00271975085,1.080139245
Centered,2,10,log_sigma_sq,1.01088,1.02833,False,-1.3216181954530648,-3.9905041,-1.3842734,1.4362023649999993
Centered,2,10,theta[1],1.01088,1.02833,False,0.0234165727640065,-1.0414148650000001,0.0069167746500000005,1.1210077949999977
Centered,2,11,log_sigma_sq,1.003355,1.01086,True,-1.542804384939785,-4.357658,-1.5423889000000002,1.247555429999999
Centered,2,11,theta[1],1.003355,1.01086,True,0.01662421290162875,-1.015115685,0.00252514755,1.1214190499999999
Centered,2,12,log_sigma_sq,1.00431,1.01594,True,-1.1875363241944623,-4.062129685,-1.1292356,1.5479535049999997
Centered,2,12,theta[1],1.00431,1.01594,True,-0.0113551090591725,-1.15298493,0.0043758995499999995,1.0553194399999994
Centered,2,13,log_sigma_sq,1.0112100000000002,1.02348,False,-1.4434950546615175,-4.2169674,-1.50186935,1.489627039999998
Centered,2,13,theta[1],1.0112100000000002,1.02348,False,-0.01392976929119825,-1.114089895,-0.0017733899499999999,1.0346635699999984
Centered,2,14,log_sigma_sq,1.032715,1.0707,False,-1.8413384570929325,-5.49172988,-1.6751296,1.003381469999998
Centered,2,14,theta[1],1.032715,1.0707,False,-0.0031933124448225,-0.9432291564999999,0.000451280975,0.9504644599999994
Centered,2,15,log_sigma_sq,1.025585,1.07321,False,-1.5115215253678607,-4.61490538,-1.4863604499999998,1.4146473
Centered,2,15,theta[1],1.025585,1.07321,False,0.003931510844067249,-1.00339444,0.010988360499999999,1.0480677449999984
Centered,2,16,log_sigma_sq,1.0198900000000002,1.05409,False,-1.4490346601088049,-4.2687930949999995,-1.4121278,1.3528561
Centered,2,16,theta[1],1.0198900000000002,1.05409,False,-0.013204159539184999,-1.0168365899999998,0.001517012,0.9898504739999997
Centered,2,17,log_sigma_sq,1.01045,1.02627,False,-1.2979456732708252,-4.30719287,-1.20220065,1.3797850449999995
Centered,2,17,theta[1],1.01045,1.02627,False,-0.0201766634299125,-1.15604264,-0.0296021575,1.083431139999998
Centered,2,18,log_sigma_sq,1.0132349999999999,1.03846,False,-1.616247990974075,-4.8588652,-1.52083755,1.2317573
Centered,2,18,theta[1],1.0132349999999999,1.03846,False,-0.0008254347112674998,-1.06487246,-0.0046535637,1.055001609999998
Centered,2,19,log_sigma_sq,1.011115,1.03665,False,-1.362492950219525,-4.16977394,-1.36897825,1.4061272399999962
Centered,2,19,theta[1],1.011115,1.03665,False,0.0024486159958457526,-1.0256431,0.00533722505,1.0452461149999994
Centered,2,20,log_sigma_sq,1.002255,1.00713,True,-1.1779175394053127,-3.8675955,-1.0947581,1.3924858899999997
Centered,2,20,theta[1],1.002255,1.00713,True,0.023171796391757496,-1.15035008,0.012159447,1.2108794149999986
Centered,2,21,log_sigma_sq,1.016765,1.04535,False,-1.25690550488993,-4.0068385,-1.1916630499999998,1.3870332299999997
Centered,2,21,theta[1],1.016765,1.04535,False,0.0096449259007275,-1.080640895,0.0093649104,1.129716174999999
Centered,2,22,log_sigma_sq,1.011025,1.02322,False,-1.4689014779339227,-4.2111841100000005,-1.4127085,1.1495781099999998
Centered,2,22,theta[1],1.011025,1.02322,False,0.0004721916248775351,-1.0574121349999999,0.013599252999999999,0.9736490784999998
Centered,2,23,log_sigma_sq,1.065385,1.17833,False,-2.2076453249178902,-5.3916823,-2.1664724,1.0084035449999997
Centered,2,23,theta[1],1.065385,1.17833,False,-0.0271294131227712,-0.9805917624999999,0.011472411,0.8173748764999985
Centered,2,24,log_sigma_sq,1.004985,1.01471,True,-1.676748273591315,-4.81369555,-1.5741527,1.0977395599999997
Centered,2,24,theta[1],1.004985,1.01471,True,-0.009659253784680001,-1.057558115,0.005680430300000001,0.9564278324999995
Centered,2,25,log_sigma_sq,1.022555,1.06072,False,-1.9357884104321001,-5.141716,-1.8371151000000001,1.124963589999999
Centered,2,25,theta[1],1.022555,1.06072,False,0.0023798443122225008,-0.9105169674999999,-0.0009411125,0.8797247064999988
Centered,2,26,log_sigma_sq,1.017465,1.04468,False,-1.6776226731500699,-4.57607255,-1.63580105,1.2599150899999996
Centered,2,26,theta[1],1.017465,1.04468,False,-0.021150651365214195,-1.04837279,-0.00577465655,0.9468634999999984
Centered,2,27,log_sigma_sq,1.012315,1.03187,False,-1.6391978929993725,-4.732596825,-1.49248085,1.2467511199999992
Centered,2,27,theta[1],1.012315,1.03187,False,-0.0041222221010669986,-1.037226975,0.0014957442,1.0194938049999986
Centered,2,28,log_sigma_sq,1.012125,1.03508,False,-1.6185138986185976,-4.5490431,-1.5543427,1.2836304799999998
Centered,2,28,theta[1],1.012125,1.03508,False,-0.012236382410457748,-1.114246175,-0.0087854042,1.0442423
Centered,2,29,log_sigma_sq,1.012095,1.03835,False,-1.3885362899797502,-4.272107685,-1.2925232,1.352410664999999
Centered,2,29,theta[1],1.012095,1.03835,False,-0.003200930973998247,-1.07926768,-0.00218628925,1.0256778049999986
Centered,2,30,log_sigma_sq,1.0155699999999999,1.03485,False,-1.6421772031058124,-4.912912319999999,-1.5445815,1.280133864999999
Centered,2,30,theta[1],1.0155699999999999,1.03485,False,0.004244034433440252,-1.0120404349999998,0.0012075797,1.0491573099999996
Centered,2,31,log_sigma_sq,1.01411,1.04193,False,-1.8058897398416,-4.652098855,-1.87893685,1.2326845999999998
Centered,2,31,theta[1],1.01411,1.04193,False,0.011792605262224245,-0.9323812789999999,0.012543002000000001,0.9777858949999999
Centered,2,32,log_sigma_sq,1.016505,1.03936,False,-1.6221618112676233,-4.9114247,-1.6064529,1.264887125
Centered,2,32,theta[1],1.016505,1.03936,False,0.009048447163329506,-0.9053244475,0.018522608000000003,0.9695321054999997
Centered,2,33,log_sigma_sq,1.031385,1.06743,False,-2.0387011682528375,-5.76068042,-1.86808095,1.263107415
Centered,2,33,theta[1],1.031385,1.06743,False,0.020804272260887005,-0.9626278264999999,0.00632074925,1.0375386049999997
Centered,2,34,log_sigma_sq,1.00455,1.01435,True,-1.486128626919795,-4.092356655000001,-1.4524954,1.1436946649999993
Centered,2,34,theta[1],1.00455,1.01435,True,0.007788880134512501,-0.9738144004999999,0.0066361045,0.9758836179999999
Centered,2,35,log_sigma_sq,1.06895,1.1066,False,-1.778319515232285,-4.6823671,-1.7257943999999998,1.2155179149999988
Centered,2,35,theta[1],1.06895,1.1066,False,0.008418284551729502,-0.9812546125,0.0174015115,1.0286045699999997
Centered,2,36,log_sigma_sq,1.005125,1.00905,True,-1.4187949775515498,-4.2206021,-1.3253508,1.2582403649999994
Centered,2,36,theta[1],1.005125,1.00905,True,0.018098662911995,-1.03954849,0.00634819655,1.0657315199999997
Centered,2,37,log_sigma_sq,1.016005,1.04607,False,-1.5625130577167101,-4.797176045,-1.3898994999999998,1.26201537
Centered,2,37,theta[1],1.016005,1.04607,False,0.005900537356691745,-1.022066065,-0.0059648793,1.0644367299999968
Centered,2,38,log_sigma_sq,1.00815,1.02321,True,-1.4331238927387924,-4.1562896,-1.38828495,1.1894396599999986
Centered,2,38,theta[1],1.00815,1.02321,True,-0.011739687241462498,-1.01273123,-0.000750823135,0.9340957649999988
Centered,2,39,log_sigma_sq,1.00783,1.0241,True,-1.4490972871416326,-4.48140059,-1.33565005,1.2525763049999992
Centered,2,39,theta[1],1.00783,1.0241,True,0.0029206901041374978,-1.075003735,-0.0027336,1.0947346499999977
