Parameterization,N,Variable,Runs,Runs with a divergence,Average total divergences,Average affected chains,Stepsize,Average leapfrog steps,Average warmup seconds,Average sampling seconds,Median total sampler seconds,Median ESS_bulk/s,Minimum ESS_bulk/s,Median R_hat,Maximum R_hat,Runs with R_hat > 1.01
Centered,2,log_sigma_sq,100,87,12.74,1.7,0.1860925034625,17.951405,0.08272,0.10933,0.1845,1269.6,74.4384,1.03085,1.5688,96
Centered,2,theta[1],100,87,12.74,1.7,0.1860925034625,17.951405,0.08272,0.10933,0.1845,35262.2,15673.5,1.01228,1.35361,60
Centered,4,log_sigma_sq,100,90,4.6,1.61,0.21812811704249999,16.3016675,0.07098,0.09903,0.163,1650.675,114.509,1.0294349999999999,1.31753,97
Centered,4,theta[1],100,90,4.6,1.61,0.21812811704249999,16.3016675,0.07098,0.09903,0.163,15085.25,4376.78,1.007215,1.19632,34
Centered,16,log_sigma_sq,100,59,2.6,0.87,0.23904544003999997,14.6861975,0.06384000000000001,0.08762,0.15,2264.125,127.106,1.018505,1.31013,81
Centered,16,theta[1],100,59,2.6,0.87,0.23904544003999997,14.6861975,0.06384000000000001,0.08762,0.15,24408.25,2173.45,1.00522,1.15213,21
Centered,64,log_sigma_sq,100,12,0.15,0.12,0.46063280702500004,8.28529,0.04447999999999999,0.05753,0.09999999999999999,29170.85,796.817,1.001835,1.06843,2
Centered,64,theta[1],100,12,0.15,0.12,0.46063280702500004,8.28529,0.04447999999999999,0.05753,0.09999999999999999,53818.85,1487.98,1.001065,1.03844,1
Centered,128,log_sigma_sq,100,0,0.0,0.0,0.6012915087,6.813400000000001,0.03641,0.049749999999999996,0.08399999999999999,102561.0,65972.7,1.00054,1.00285,0
Centered,128,theta[1],100,0,0.0,0.0,0.6012915087,6.813400000000001,0.03641,0.049749999999999996,0.08399999999999999,138538.0,101539.0,1.000695,1.0052,0
Centered,256,log_sigma_sq,100,0,0.0,0.0,0.6445171082250001,6.70749,0.03311,0.048659999999999995,0.081,133457.5,100719.0,1.00085,1.00336,0
Centered,256,theta[1],100,0,0.0,0.0,0.6445171082250001,6.70749,0.03311,0.048659999999999995,0.081,158395.0,102686.0,1.0009350000000001,1.00489,0
Centered,2048,log_sigma_sq,100,0,0.0,0.0,0.6711760218249999,6.621235,0.032920000000000005,0.04839,0.08,145865.0,96611.9,1.00089,1.00461,0
Centered,2048,theta[1],100,0,0.0,0.0,0.6711760218249999,6.621235,0.032920000000000005,0.04839,0.08,167591.0,99413.7,1.001045,1.00456,0
Centered,32768,log_sigma_sq,100,0,0.0,0.0,0.65867770265,6.595475,0.036169999999999994,0.04771,0.08399999999999999,144166.0,122668.0,1.000975,1.00493,0
Centered,32768,theta[1],100,0,0.0,0.0,0.65867770265,6.595475,0.036169999999999994,0.04771,0.08399999999999999,167188.0,136795.0,1.00118,1.00564,0
Non-centered,2,log_sigma_sq_std,100,0,0.0,0.0,0.46090787159999996,8.059275,0.0458,0.06272,0.107,35046.899999999994,25857.4,1.00083,1.00466,0
Non-centered,2,theta_std[1],100,0,0.0,0.0,0.46090787159999996,8.059275,0.0458,0.06272,0.107,80418.25,54694.5,1.000765,1.00501,0
Non-centered,4,log_sigma_sq_std,100,0,0.0,0.0,0.409137716725,9.559165,0.04965,0.06886,0.119,25624.699999999997,17965.8,1.0011649999999999,1.00585,0
Non-centered,4,theta_std[1],100,0,0.0,0.0,0.409137716725,9.559165,0.04965,0.06886,0.119,62538.0,46607.3,1.000955,1.00638,0
Non-centered,16,log_sigma_sq_std,100,1,0.01,0.01,0.469592962225,7.87184,0.043429999999999996,0.059519999999999997,0.10200000000000001,42114.649999999994,31895.3,1.0008,1.00393,0
Non-centered,16,theta_std[1],100,1,0.01,0.01,0.469592962225,7.87184,0.043429999999999996,0.059519999999999997,0.10200000000000001,84687.45000000001,62953.4,1.000925,1.00417,0
Non-centered,64,log_sigma_sq_std,100,0,0.0,0.0,0.4141693593,9.157115,0.04822,0.06466,0.113,19835.35,13913.3,1.002535,1.01012,1
Non-centered,64,theta_std[1],100,0,0.0,0.0,0.4141693593,9.157115,0.04822,0.06466,0.113,63716.9,51408.2,1.00094,1.00537,0
Non-centered,128,log_sigma_sq_std,100,0,0.0,0.0,0.367777918875,10.769974999999999,0.05256,0.07219,0.124,12676.7,9153.28,1.00293,1.01098,1
Non-centered,128,theta_std[1],100,0,0.0,0.0,0.367777918875,10.769974999999999,0.05256,0.07219,0.124,22318.8,14362.3,1.00149,1.00517,0
Non-centered,256,log_sigma_sq_std,100,0,0.0,0.0,0.258309974975,14.449494999999999,0.06622,0.08718999999999999,0.153,8541.46,2451.09,1.004785,1.02906,3
Non-centered,256,theta_std[1],100,0,0.0,0.0,0.258309974975,14.449494999999999,0.06622,0.08718999999999999,0.153,10365.95,2565.89,1.00345,1.02278,2
Non-centered,2048,log_sigma_sq_std,100,6,0.07,0.06,0.0998071700475,33.9796675,0.13454,0.17166,0.30500000000000005,2336.0150000000003,1017.58,1.00816,1.02852,39
Non-centered,2048,theta_std[1],100,6,0.07,0.06,0.0998071700475,33.9796675,0.13454,0.17166,0.30500000000000005,2396.12,1056.82,1.00815,1.02803,35
Non-centered,32768,log_sigma_sq_std,100,38,0.51,0.42,0.02482232762,107.56208000000001,0.39002000000000003,0.52247,0.91,634.691,390.667,1.011685,1.03996,61
Non-centered,32768,theta_std[1],100,38,0.51,0.42,0.02482232762,107.56208000000001,0.39002000000000003,0.52247,0.91,635.9975,399.493,1.011525,1.03959,62
